product_label,acq_date,original_id,original_generation_date,new_id,new_generation_date
ga_s2bm_ard_3-2-1_49JGN_2017-07-04_final,4/07/2017,0adb1e0b-a6bd-40b4-866a-ebbf8fcac568,27/08/2022,9fdfd75d-76e0-4c12-8949-decc72a1d7ff,5/01/2024
ga_s2bm_ard_3-2-1_49JHN_2017-07-04_final,4/07/2017,c0008b31-1af7-4c9d-b356-5521b92106f0,27/08/2022,66c196ed-174d-4f0d-bab9-da5f39e8ea5d,5/01/2024
ga_s2bm_ard_3-2-1_50JKT_2017-07-04_final,4/07/2017,fb636ff3-2073-4a6a-8323-5b0787027286,27/08/2022,2c9b2230-d4e3-4ca1-b57a-ce0daedbf80e,5/01/2024
ga_s2bm_ard_3-2-1_54JUQ_2017-11-01_final,1/11/2017,03727651-5ce0-4fea-b270-ef609a0c8262,26/08/2022,3f71e89f-029a-4cf3-aa01-ffb296cd87f4,16/01/2024
ga_s2bm_ard_3-2-1_50JQL_2017-11-02_final,2/11/2017,71c46984-9197-4f23-b94a-78e6c4d1010b,26/08/2022,62c24e97-c0c3-43d0-8a47-dc921ff30f33,5/01/2024
ga_s2bm_ard_3-2-1_51JTF_2017-11-02_final,2/11/2017,b0e2f716-4dbd-41c6-9442-1699f2e369a6,26/08/2022,f27a3ff9-8282-4683-b5f0-7d293db3318d,16/01/2024
ga_s2bm_ard_3-2-1_50JQM_2017-12-12_final,12/12/2017,9109c34e-2401-4b0b-8a7f-bcb1106f1202,27/08/2022,cb51ba01-52ac-43e7-a338-e5fb304691bb,16/01/2024
ga_s2bm_ard_3-2-1_51JTF_2017-12-12_final,12/12/2017,a9dae077-3047-4f28-a7c3-6e2fcbca1cdb,27/08/2022,7d0bad99-7db3-4037-a603-a6b9141f85fa,5/01/2024
ga_s2bm_ard_3-2-1_50JQL_2017-12-12_final,12/12/2017,cb552415-a473-43a9-9e85-fceabe7dce5f,27/08/2022,c1635c0f-0c34-4056-846f-ab143f6f87e3,5/01/2024
ga_s2bm_ard_3-2-1_50JQL_2018-01-21_final,21/01/2018,464cee0d-657b-4fc1-b3ca-6522048ddebc,14/08/2022,af15bc1e-f85d-4f3c-8a3a-c53efe705433,5/01/2024
ga_s2bm_ard_3-2-1_51JTF_2018-01-21_final,21/01/2018,be735874-c3c8-4a25-8bff-93cd5bf7bd53,15/08/2022,de2ce5a8-fc6a-48b4-ba37-9d75f55c4867,16/01/2024
ga_s2bm_ard_3-2-1_51HUE_2018-02-07_final,7/02/2018,12a555dd-7512-4eba-8b7b-e48ef87593a1,14/08/2022,cbb1ec0a-3422-4d30-ac05-fc88fc98e20d,16/01/2024
ga_s2bm_ard_3-2-1_53KLP_2018-02-15_final,15/02/2018,365a4e0a-4986-4bc4-b508-48d19e35dc5f,15/08/2022,09db463e-c41d-4e9f-9a80-745ce0b24999,16/01/2024
ga_s2bm_ard_3-2-1_53KMP_2018-02-15_final,15/02/2018,930e0439-5b59-492d-8fa9-3934c1ba6fbd,15/08/2022,dacb148b-413f-42e7-998e-ed2d6e24fc4a,5/01/2024
ga_s2bm_ard_3-2-1_54HXK_2018-03-05_final,5/03/2018,49bd0ed7-4176-4df4-87a5-2c44e4e64c0f,16/08/2022,c32119be-9d5f-4c40-bc64-55e14f8cccee,5/01/2024
ga_s2bm_ard_3-2-1_54HYK_2018-03-05_final,5/03/2018,8792143f-bcfb-41b8-b44a-cf3b8bba7c60,16/08/2022,26e1f63b-67db-457f-a776-92ed3c8af36c,5/01/2024
ga_s2bm_ard_3-2-1_51JUH_2018-04-01_final,1/04/2018,28196b2d-2fe0-4d18-bbfa-393a3dabf0c6,18/08/2022,3ef3d1e7-41c9-476d-b1a5-ea72c86d372d,16/01/2024
ga_s2bm_ard_3-2-1_51JTH_2018-04-01_final,1/04/2018,9864cde8-d8af-459e-98fe-e62995e3b155,18/08/2022,87db8bae-4d0e-44ee-bd94-ab8a0eef8b57,16/01/2024
ga_s2bm_ard_3-2-1_51JTJ_2018-04-01_final,1/04/2018,c2e52e05-6167-4347-ab10-2814ff47c65b,18/08/2022,88e615d6-4336-4ca5-955e-5effe504bd79,5/01/2024
