product_label,acq_date,original_id,original_generation_date,new_id,new_generation_date
ga_s2am_ard_3-2-1_55JDH_2015-08-20_final,20/08/2015,00b3ae94-3090-45ab-8df5-d4ff90f36a12,4/01/2023,606ff409-3f6a-4e84-95ee-3b599b9acf71,17/01/2024
ga_s2am_ard_3-2-1_55JEJ_2015-08-20_final,20/08/2015,1e9391b3-2c1f-4cb9-ab74-8b95b117118e,4/01/2023,5ffa0603-8ec9-480a-9d41-4146e299ed56,17/01/2024
ga_s2am_ard_3-2-1_55JCJ_2015-08-20_final,20/08/2015,25b02bc6-414c-4c88-8bf0-87e53a707a4b,4/01/2023,ea8c17fb-760d-4bdb-a36a-e6ce26bf3050,17/01/2024
ga_s2am_ard_3-2-1_55JFH_2015-08-20_final,20/08/2015,2906bbd8-d387-4421-9002-dd9ba1b826f0,4/01/2023,1bdcda1d-c317-40ec-980b-81fe938623c6,17/01/2024
ga_s2am_ard_3-2-1_55JCH_2015-08-20_final,20/08/2015,2b7c1f65-3c81-433c-ae0c-8bc08f945c9d,4/01/2023,6d712e24-e8f4-46c3-bef5-3c023f1a0e18,17/01/2024
ga_s2am_ard_3-2-1_55JEH_2015-08-20_final,20/08/2015,469cefa6-d5f9-4a7e-b861-24d447da06f9,4/01/2023,14c05671-b180-4ac6-9437-ce38bc807473,17/01/2024
ga_s2am_ard_3-2-1_55JDK_2015-08-20_final,20/08/2015,7bd3ac98-ad1e-45f2-8d2c-a582e32196b0,4/01/2023,f47a9a63-a7ff-4147-b4c5-29e3af05fabb,17/01/2024
ga_s2am_ard_3-2-1_55JCK_2015-08-20_final,20/08/2015,8e1f969d-99e0-47b8-8d72-279b5b974ced,4/01/2023,5d5ee9b2-b582-48d4-9017-7688d3ba9b84,17/01/2024
ga_s2am_ard_3-2-1_55JDG_2015-08-20_final,20/08/2015,992d3f2d-fdbb-42f7-b3a4-f9a9e70559ab,9/11/2022,aa2274ea-455b-43db-b7f1-7d0e051a2ba0,17/01/2024
ga_s2am_ard_3-2-1_55JBH_2015-08-20_final,20/08/2015,a52b65c7-5ceb-4916-8634-3fc00ee3b288,4/01/2023,e704ac86-692f-4af3-8c0a-26dbf989156a,17/01/2024
ga_s2am_ard_3-2-1_55JCL_2015-08-20_final,20/08/2015,affa21aa-95a7-4364-a601-fbbc6b882f0f,4/01/2023,8a4f7d0d-8b2f-4981-bd30-1afee1d3fcd3,17/01/2024
ga_s2am_ard_3-2-1_55JDL_2015-08-20_final,20/08/2015,cdf71716-edf6-44ef-aa5d-db1936920782,4/01/2023,12fefbab-65eb-4adf-a622-b05f3e01c9d0,17/01/2024
ga_s2am_ard_3-2-1_55JEK_2015-08-20_final,20/08/2015,d003dd5d-7321-4906-9255-c8579de40cad,4/01/2023,c2f6d42a-4699-49b4-a334-648b3721ef7e,17/01/2024
ga_s2am_ard_3-2-1_55JDJ_2015-08-20_final,20/08/2015,de07cd84-667e-4784-9a97-57b312d34fee,4/01/2023,e7dd75f7-5958-4488-8d6a-1827b7b505aa,17/01/2024
ga_s2am_ard_3-2-1_55JFJ_2015-08-20_final,20/08/2015,de1cb8eb-d822-44ec-b839-67afe21fc3f3,4/01/2023,c6ce2218-398c-4bf1-b06a-bbca7e173bc4,17/01/2024
